S No,Website,Active Voice ,Passive Voice,
2379,,They made this furniture in Vietnam.,This furniture was made in Vietnam.,
2380,,Someone will take me to the airport at 2.00.,I'll be taken to the airport at 2.00.,
2381,,Someone will take her to the hospital.,She will be taken to the hospital.,
2382,,They pay me once a month.,I'm paid once a month.,
2383,,Someone gave her help.,She was given help.,
2384,,Someone broke the window.,The window was broken.,
2385,,You must speak English in class.,English must be spoken in class.,
2386,,Anyone can contact me at work.,I can be contacted at work.,
2387,,The Police reported that the number of car accidents had increased.,The number of car accidents was reported to have increased.,
2388,,They say hot lemon is one of the best remedies for sore throats.,Hot lemon is said to be one of the best remedies for sore throats.,
2389,,The doctors claim that this new technique is a revolution for heart problems.,This new technique is claimed to be a revolution for heart diseases.,
2390,,They expect the Queen Mary 2 will arrive in Miami in a couple of weeks.,The Queen Mary 2 is expected to arrive in Miami in a couple of weeks.,
2391,,Everybody thought he did not take the prize for political reasons.,He was thought not to have taken the prize for political reasons.,
2392,,It is believed that many yogis meditate without food or water for weeks.,Many yogis are believed to meditate without food or water for weeks.,
2393,,Scientists think that many unknown mammals still live in the middle of Asian jungles.,Many unknown mammals are thought to live in the middle of Asian jungles.,
2394,,All the experts in the congress thought that our wine was the best.,Our wine was thought to be the best by all the experts in the congress.,
2395,,People know that she is a good swimmer.,She is known to be a good swimmer.,
2396,,They say that Francis is in hospital.,Francis is said to be in hospital.,
2397,,They think that the children are in bed.,The children are thought to be in bed.,
2398,,People believe that the robber has worked in the bank.,The robber is believed to have worked in the bank.,
2399,,People believe that nuclear power stations are dangerous.,Nuclear power stations are believed to be dangerous.,
2400,,His collegues thought that he was on holiday.,He was thought to be on holiday.,
2401,,People know that cars pollute the environment.,Cars are known to pollute the environment.,
2402,,They suppose that the new product will come out soon.,The new product is supposed to come out soon.,
2403,,They found that the mission was impossible.,The mission was found to be impossible.,
2404,,They believe that she will win a gold medal.,She is believed to win a gold medal.,
2405,,He may forget the password.,The password may be forgotten.,
2406,,He should have done the assignment. ,The assignment should have been done.,
2407,,John has completed the project. ,The project has been completed by John. ,
2408,,They ought to change the law. ,The law ought to be changed. ,
2409,,We might see a comet tonight. ,A comet might be seen tonight. ,
2410,,I have received your letter. ,Your letter has been received by me. ,
2411,,She was reading a book by Tolstoy. ,A book by Tolstoy was being read by her. ,
2412,,She had seen the movie before. ,The movie had been seen by her before.  ,
2413,,Haven't they painted the building yet? ,Hasn't the building been painted yet? ,
2414,,They designed the area to appeal to young people.,The area was designed to appeal to young people.,
2415,,The company exported their products all over the world.,The company's products were exported all over the world.,
2416,,Shakespeare wrote Hamlet around 1600.,Hamlet was written by Shakespeare around 1600.,
2417,,Scientists found large amounts of chemicals in the river.,Large amounts of chemicals were found in the river.,
2418,,The police closed the road to deal with the accident.,The road was closed by the police so they could deal with the accident.,
2419,,The Director of Studies gave the parents a tour of the school.,The parents were given a tour of the school by the Director of Studies.,
2420,https://www.englishspanishlink.com/en/english-grammar-exercises/passive-voice_4.htm,The cleaners have thrown away the papers I left on my desk.,The papers I left on my desk have been thrown away.,
2421,,They have closed the zoo this week for health reasons.,The zoo has been closed this week for health reasons.,
2422,,I heard that they have used animals here for scientific experiments.,I heard that animals have been used here for scientific experiments.,
2423,,Somebody has stolen my new watch.,My new watch has been stolen.,
2424,,The police have not found the murderer yet.,The murderer has not been found yet.,
2425,,They still have not solved the case.,The case still has not been solved.,
2426,,Have you switched the computer on this morning?,Has the computer been switched on this morning?,
2427,,Have they done anything about the broken photocopier?,Has anything been done about the broken photocopier?,
2428,,People say they have seen her driving a new car.,She has been seen driving a new car.,
2429,,Nobody has arranged anything.,Nothing has been arranged.,
2430,,They ate the apples.,The apples were eaten.,
2431,,They eat the apples.,The apples are eaten.,
2432,,They have eaten the apples.,The apples have been eaten.,
2433,,They are eating the apples.,The apples are being eaten.,
2434,,They had eaten the apples.,The apples had been eaten.,
2435,,They were eating the apples.,The apples were being eaten.,
2436,,They were going to eat the apples.,The apples were going to be eaten by them.,
2437,,The car was driven.,Was the car driven?,
2438,,The house has been sold.,Has the house been sold?,
2439,,The police could watch the thieves through telescopes.,The thieves could be watched through telescopes.,
2440,,They close the market on Mondays.,The market is closed on Mondays.,
2441,,The police catch a lot of criminals in London.,A lot of criminals are caught in London.,
2442,,The gardener waters the flowers every day.,The flowers are watered every day.,
2443,,We always leave our boots by the door.,Our boots are always left by the door.,
2444,,You switch on the machine at the wall.,The machine is switched on at the wall.,
2445,,They don't rent cars there.,Cars aren't rented there.,
2446,,Somebody follows me home every evening.,Every evening i'm followed home.,
2447,,Do you switch the PC on first?,Is the PC switched on first?,
2448,,Some person leaves the lights on all night.,The lights are left on all night.,
2449,,We usually leave a saucer of milk for the cat.,A saucer of milk is usually left for the cat.,
2450,,People see foxes in their gardens at night.,Foxes are seen in people's gardens at night.,
2451,,They gave a large sum of money to the poor.,A large sum of money was given to the poor.,
2452,,We packed the cases last night.,The cases were packed last night.,
2453,,We spotted a lot of black storks yesterday.,A lot of black storks were spotted yesterday.,
2454,,The football supporters drank a lot of beer after the match.,A lot of beer was drunk after the match.,
2455,,The local council planted hundreds of trees last year.,Hundreds of trees were planted last year.,
2456,,People wrote a lot about religious topics in the 19th century.,A lot was written about religious topics in the 19th century.,
2457,,Did they introduce you to Mary last night?,Were you introduced to Mary last night?,
2458,,Did the children put away all the toys before they went to bed?,Were all the toys put away before they went to bed? ,
2459,,They said she wasn't coming back.,It was said she wasn't coming back.,
2460,,In the end they did not close down the factory.,In the end the factory was not closed down.,
2461,,Somebody abandoned this lovely dog on the main road.,This lovely dog was abandoned on the main road.,
2462,,They are putting the books in the wrong place.,The books are being put in the wrong place.,
2463,,They are closing a lot of night clubs in this area due to the noise.,A lot of night clubs are being closed in this area due to the noise.,
2464,,The dentist is doing some work on my teeth.,Some work is being done on my teeth.,
2465,,The local council are pulling down the old flats around here.,The old flats are being pulled down around here.,
2466,,Somebody is using the coffee machine just now.,The coffee machine is being used just now.,
2467,,They are building a motorway across our land.,A motorway is being built across our land.,
2468,,Are the police watching that person?,Is that person being watched?,
2469,,Can you tell me if they're opening the pool now?,Can you tell me if the pool is being opened now?,
2470,,Nobody is dealing with this problem.,This problem is not being dealt with.,
2471,,They are not cutting down these trees in the end.,These trees aren't being cut down in the end.,
2472,,They are discussing the case right now.,The case is being discussed right now.,
2473,,They've opened a new supermarket down the road.,A new supermarket has been opened down the road.,
2474,,The teacher spoke to the boy.,The boy was spoken to.,
2475,,John wrote the letter.,The letter was written.,
2476,,We solved the problems.,The problems were solved.,
2477,,Her boyfriend gave her some flowers.,Some flowers were given to her.,
2478,,The greengrocer sells apples here.,Apples are sold here.,
2479,,His people had criticised him.,He had been criticised by his people.,
2480,,You should insert the tubes first.,The tubes should be inserted first.,
2481,,They should have studied these subjects.,These subjects should have been studied.,
2482,http://www.msvu.ca/en/home/studentservices/academicsupport/writingcentre/handouts/activevspassivevoice/default.aspx,The police were watching her.,She was being watched by the police.,
2483,,The neighbours are taking care of the house.,The house is being taken care of by the neighbours.,
2484,,Someone detonated a bomb in the hotel lobby.,A bomb was detonated in the hotel lobby.,
2485,,Someone will complete the project before Saturday.,The project will be completed before Saturday.,
2486,,"Global warming, deforestation, and pollution destroy the earth’s natural resources.","The earth’s natural resources are destroyed by global warming, deforestation, and pollution",
2487,,"The American people elected Barak Obama in November, 2008.","Barak Obama was elected by the American people in November, 2008.",
2488,,The Writing Centre helps about one hundred students each semester.,About one hundred students are helped by the Writing Centre each semester.,
2489,,"My grandmother got dementia, and took to a Nursing Home.",My grandmother got dementia and was taken to a Nursing Home.,
2490,,The poll workers miscounted the votes.,The votes were miscounted.,
2491,,"The architectural firm, Fowler, Bauld, and Mitchell is going to design the new library.","The new library is going to be designed by the architectural firm,   Fowler, Bauld, and Mitchell.",
2492,,Someone broke into the Quinpool Road Superstore last night.,The Quinpool Road Superstore was broken into last night.,
2493,,Aramark will prepare the food for the physics conference,The food for the physics conference will be prepared by Aramark.,
2494,https://elt.oup.com/student/project3rdedition/level4/unit5/grammar/exercise1?cc=us&selLanguage=en,Farmers cut down a lot of forests.,A lot of forests are cut down by farmers.,
2495,,Cars and planes produce greenhouse gases.,Greenhouse gases are produced by cars and planes.,
2496,,Trees take in carbon dioxide.,Carbon dioxide is taken in by trees.,
2497,,Extreme weather causes high temperatures.,High temperatures are caused by extreme weather.,
2498,,Reporters write thousands of articles.,Thousands of articles are written by reporters.,
2499,,Power stations use fossil fuels.,Fossil fuels are used by power stations.,
2500,,The owners sold the company for $5 million.,The company was sold for $5 million.,
2501,,Jack Smith wrote the novel in 1912.,That novel was written by Jack Smith in 1912.,
2502,,A construction company built my house in 1988.,My house was built in 1988.,
2503,,We have produced over 20 different models in the past two years.,Over 20 different models have been produced in the past two years.,
2504,,My colleagues and I develop software for financial institutions.,Our software is developed for financial institutions.,
2505,,We assembled the car in less than two hours.,The car was assembled in less than two hours. ,
2506,,I wrote the report last week.,The report was written last week.,
2507,,They make Fords in Cologne.,Fords are made in Cologne.,
2508,,Susan is cooking dinner.,Dinner is being cooked by Susan.,
2509,,"James Joyce wrote ""Dubliners"".","""Dubliners"" was written by James Joyce.",
2510,,They were painting the house when I arrived.,The house was being painted when I arrived.,
2511,,They have produced over 20 models in the past two years.,Over 20 models have been produced in the past two years.,
2512,,They are going to build a new factory in Portland.,A new factory is going to be built in Portland.,
2513,,I will finish it tomorrow.,It will be finished tomorrow.,
2514,,Sam wrote a letter to Jamie.,A letter was written to Jamie by Sam.,
2515,,The government built a new bridge.,A new bridge was built by the government.,
2516,,I recommend that you apply for this position.,It is recommended that you apply for this position.,
2517,,John gave me a bunch of flowers on my birthday.,A bunch of flowers was given to me on my birthday by John.,
2518,,The boy is reading the book., The book is being read by the boy. ,
2519,,He's making pancakes. ,Pancakes are being made in the kitchen.,
2520,,I'm growing the flowers. ,Flowers are being grown in this garden. ,
2521,,Global climate change is threatening many species worldwide.,Penguins living in the Antarctic are being threatened by global climate change.,
2522,,Her brother is hugging her.,She's being hugged by her brother. ,
2523,,Jennifer bought the cake. ,The cake was bought by Jennifer.,
2524,,Millions of people visit Cape Town every year. ,Cape Town is visited by millions of people every year.,
2525,,Emily and Patrick ate my chocolate!,My chocolate was eaten by Emily and Patrick.,
2526,,Sam painted a beautiful picture. ,A beautiful picture was painted by Bob. ,
2527,,Kevin drives Kate to work every day. ,Kate is driven to work every day by Kevin.,
2528,,Peter killed the rat. ,The rat was killed by Peter.,
2529,,Caroline eats two bars of chocolate daily. ,Two bars of chocolate are eaten daily by Caroline.,
2530,,The waves hit the ship. ,The ship was hit by the waves.,
2531,,Sophie cleans the kitchen. ,The kitchen is cleaned by Sophie.,
2532,,Everyone watches the fireworks.,The fireworks are watched by everyone.,
2533,https://www.englishclub.com/grammar/passive-voice.htm,Lee Harvey Oswald killed President Kennedy.,President Kennedy was killed by Lee Harvey Oswald.,
2534,,Somebody has stolen my wallet.,My wallet has been stolen.,
2535,,XYZ Company is painting our house.,Our house is being painted.,
2536,,My company pays me weekly.,I am paid weekly.,
2537,,The Captain reminds passengers to fasten their seatbelts.,Passengers are reminded to fasten their seatbelts.,
2538,,The public can call the emergency services by dialling 999.,The emergency services can be called by dialling 999.,
2539,,The technician added potassium and mixed it in. ,Potassium was added and mixed in.,
2540,,The technician heated the solution to 80°C and then allowed it to cool.,The solution was heated to 80°C and then allowed to cool.,
2541,,The Prime Minister made mistakes and unfortunately never rectified them.,Mistakes were made and unfortunately never rectified.,
2542,,How does one pronounce his name?,How is his name pronounced?,
2543,,Ati's helping Tara.,Tara's being helped by Ati.,
2544,,Kid has served dinner.,Dinner has been served.,
2545,,The police have been watching that house for weeks.,That house has been being watched for weeks.,
2546,,They didn't fix my phone yesterday.,My phone wasn't fixed yesterday.,
2547,,They were interrogating him when I called.,He was being interrogated when I called.,
2548,,I wondered why they hadn't invited me.,I wondered why I hadn't been invited.,
2549,,She wasn't sure how long they'd been following her.,She wasn't sure how long she'd been being followed.,
2550,,They will hang him at dawn.,He will be hanged at dawn.,
2551,,They won't be questioning him when you get there.,He won't be being questioned when you get there.,
2552,,They will have repaired your car by 7pm.,Your car will have been repaired by 7pm.,
2553,,They'll have been treating her for exactly three months tomorrow.,She'll have been being treated for exactly three months tomorrow,
2554,,I dont want anyone to disturb me.,I don't want to be disturbed.,
2555,,They seem to have taken it.,It seems to have been taken.,
2556,,I saw the cat eating it.,I saw it being eaten by the cat.,
2557,,"Having finished my work, I went home.","My work having been finished, I went home.",
2558,,I insisted on them paying me.,I insisted on being paid.,
2559,,Is he going to sing Thriller at the party?,Is Thriller going to be sung at the party?,
2560,,Ram used to take care of everything.,Everything used to be taken care of by Ram.,
2561,,They can question him for six hours.,He can be questioned for six hours.,
2562,,It could have badly hurt you.,You could have been badly hurt.,
2563,,The papers say they may release him.,The papers say he may be released.,
2564,,Somebody might buy it.,It might be bought.,
2565,,Passengers must wear seat belts.,Seat belts must be worn.,
2566,,You should have told me.,I should have been told.,
2567,,They ought to forgive him.,He ought to be forgiven.,
2568,,The Allies firebombed Dresden.,Dresden was firebombed by the Allies.,
2569,,Somebody killed him with a gun.,He was killed with a gun.,
2570,https://www.veleri.hr/files/datotekep/nastavni_materijali/k_poduzetnistvo_1/PASSIVE_VOICE.doc,The butler murdered the detective.,The detective was murdered by the butler.,
2571,,Mark Twain wrote “Tom Sawyer”.,"“Tom Sawyer"" was written by Mark Twain.",
2572,,A famous architect has built all these houses.,All these houses have been built by a famous architect.,
2573,,Somebody cleans this room every day. ,This room is cleaned every day.,
2574,,Somebody cleaned this room yesterday. ,This room was cleaned yesterday.,
2575,,Somebody has cleaned this room. ,This room has been cleaned.,
2576,,Somebody had cleaned this room. ,This room had been cleaned.,
2577,,Somebody will clean this room. ,This room will be cleaned.,
2578,,Somebody is cleaning this room. ,This room is being cleaned.,
2579,,Somebody was cleaning this room. ,This room was being cleaned.,
2580,,People play football all over the world.,Football is played all over the world.,
2581,,Lee Harvey Oswald shot John F. Kennedy.   ,John F. Kennedy was shot by Lee Harvey Oswald.,
2582,,Nobody invited him to dinner. ,He was not invited to dinner. ,
2583,,People say that figs are better for us than bananas.,It is said that figs are better for us than bananas. ,
2584,,She was given a dog.,A dog was given to her.,
2585,,Someone will have to deal with this matter right away.,This matter will have to be dealt with right away.,
2586,,They made the computer well.,The computer was well made. ,
2587,,Someone must limit the number of students.,The number of students must be limited.,
2588,,Children painted these pictures.,These pictures were painted by children,
2589,,James writes a letter,A letter is written by James,
2590,http://gimnazija-druga-os.skole.hr/dokumenti?dm_document_id=164&dm_dnl=1,The garage mechanic is repairing the car now.,The car is being repaired by the garage mechanic now.,
2591,,A famous director has donated one million dollars for the victims of tsunami.,One million dollars has been donated for the victims of tsunami by a famous director.,
2592,,They were still building the hotel when there was an earthquake.,The hotel was still being built when there was an earthquake.,
2593,,They had planned the itinerary long before they went on their trip.,The itinerary had been planned long before they went on their trip.,
2594,,They will deliver the newspapers early in the morning.,The newspapers will be delivered early in the morning.,
2595,,The fire destroyed all the files.,All the files were destroyed by the fire.,
2596,,What have you done to make them feel better?,What has been done to make them feel better?,
2597,,They will have completed most of the work by the time the president arrives.,Most of the work will have been completed by the time the president arrives.,
2598,,People believed for a long time that the Earth was the centre of the Universe.,It was believed for a long time that the Earth was the centre of the Universe.,
2599,,They made him pay back all the money.,He was made to pay back all the money.,
2600,,Did they tell you to show your luggage?,Were you told to show your luggage?,
2601,,The police is recording our conversation.,Our conversation is being recorded by the police.,
2602,,Someone will have taken the cake out of the oven by lunch time.,The cake will have been taken out of the oven by lunch time.,
2603,,The lecturer is going to give us the handouts.,We are going to be given the handouts by the lecturer.,
2604,,You should write the word “Croatian” with a capital letter.,The word “Croatian” should be written with a capital letter.,
2605,,They have just announced our flight.,Our flight has just been announced.,
2606,,They mine for opals in Australia.,Opals are mined for in Australia.,
2607,,A handsome bartender was serving the drinks.,The drinks were being served by a handsome bartender.,
2608,,That teacher had punished several students before the authorities warned the parents about the problem.,Several students had been punished by that teacher before the parents were warned about the problem by the authorities.,
2609,,We are to hand in the essays at the end of the week.,The essays are to be handed in at the end of the week.,
2610,,"If they had repaired the television set properly, it wouldn’t have broken down again.","If the television set had been repaired properly, it wouldn’t have broken down again.",
2611,,You don’t have to defrost fish fingers before you fry them.,Fish fingers don’t have to be defrosted before they are fried.,
2612,,The bride’s aunt is going to prepare all the food for the wedding reception.,All the food for the wedding reception is going to be prepared by the bride’s aunt.,
2613,,The hotel staff don’t wash the towels every day.,The towels aren’t washed every day by the hotel staff.,
2614,,His young assistant was counting the leaflets.,The leaflets were being counted by his young assistant.,
2615,,A famous interior designer is redecorating their apartment.,Their apartment is being redecorated by a famous interior designer.,
2616,,The students have not yet used the new laboratory.,The new laboratory has not yet been used by the students. ,
2617,,Someone must have erased the document.,The document must have been erased.,
2618,,Someone ought to have reported it to the principal.,It ought to have been reported to the principal.,
2619,,Slavonian women make the best cakes.,The best cakes are made in Slavonia.,
2620,,Slavonian women are making the best cakes.,The best cakes are being made in Slavonia.,
2621,,Slavonian women made the best cakes.,The best cakes were made in Slavonia.,
2622,,Slavonian women were making the best cakes.,The best cakes were being made in Slavonia.,
2623,,Slavonian women have made the best cakes.,The best cakes have been made in Slavonia.,
2624,,Slavonian women had made the best cakes.,The best cakes had been made in Slavonia.,
2625,,Slavonian women will make the best cakes.,The best cakes will be made in Slavonia.,
2626,,Slavonian women will have made the best cakes.,The best cakes will have been made in Slavonia.,
2627,,Slavonian women are to make the best cakes.,The best cakes are to be made in Slavonia.,
2628,http://cdac.olabs.edu.in/?sub=84&brch=23&sim=195&cnt=1,The grocer sells fresh vegetables.,Fresh vegetables are sold by the grocer.,
2629,,My boss is giving many assignments.,Many assignments are being given by my boss.,
2630,,I have taken him out.,He has been taken out by me.,
2631,,He built a large house.,A large house was built by him.,
2632,,She was cooking dinner.,Dinner was being cooked by her.,
2633,,She had posted the letter.,The letter had been posted by her.,
2634,,I will give you a present.,A present will be given to you by me.,
2635,,The doctor shall have examined ten patients by 10 O’clock.,Ten patients will have been examined by 10 O’clock by the doctor.,
2636,,Chester kicked the ball.,The ball was kicked by Chester.,
2637,http://english-grammarfullinfo.blogspot.com/p/active-and-passive-voice-8.html,The king killed the lion.,The lion was killed by the king.,
2638,,He has fought a good fight.,A good fight has been fought by him.,
2639,,The people cheered the king.,The king was cheered by the people.,
2640,,Harry struck Mary.,Mary was struck by Harry.,
2641,,The hunter shot the tiger.,The tiger was shot by the hunter.,
2642,,Ashok has written this letter.,This letter has been written by Ashok.,
2643,,I have taught this girl.,This girl has been taught by me.,
2644,,The teacher will forgive him.,He will be forgiven by the teacher.,
2645,,Rama lent me ten rupees.,Ten rupees were lent me by Rama.,
2646,,I taught him English.,He was taught English by me.,
2647,,The king gave the commander a reward.,The commander was given a reward by the king.,
2648,,They made him General.,He was made general by them.,
2649,,They crowned him king.,He was crowned king by them.,
2650,,All trust an honest man.,An honest man is trusted by all.,
2651,,Who taught her french?,By whom was she taught French?,
2652,,Why did your father refuse such an honourable job?,Why was such an honourable job refused by your father?,
2653,,Whom did you laugh at?,Who was laughed at by you?,
2654,,Ask him to come in.,Let him be asked to come in.,
2655,,Grass grew over the field.,The field was overgrown with grass.,
2656,,They sold many tickets at the gate.,Many tickets were sold at the gate.,
2657,,The crowd expected him to arrive at ten.,He was expected to arrive at ten.,
2658,,You surprise me.,I am surprised.,
2659,,They called him a fool.,He was called a fool.,
2660,,Somebody taught him this in his boyhood.,He was taught this in his boyhood.,
2661,,Someone has picked his pocket.,His pocket has been picked.,
2662,,Bill kicked the ball.,The ball was kicked by Bill.,
2663,,The boys eat the pie.,The pie is eaten by the boys,
2664,,The boys are eating the pie,The pie is being eaten by the boys,
2665,,The boys have eaten the pie,The pie has been eaten by the boys,
2666,,The boys ate the pie,The pie was eaten by the boys,
2667,,The boys were eating the pie,The pie was being eaten by the boys,
2668,,The boys had eaten the pie,The pie had been eaten by the boys,
2669,,The boys will eat the pie,The pie will be eaten by the boys,
2670,,The boys are going to eat the pie.,The pie is going to be eaten by the boys,
2671,,The boys will have eaten the pie,The pie will have been eaten by the boys,
2672,https://www.englishcurrent.com/exercises/passive-voice-exercises/,I didn’t fix the problem.,The problem wasn’t fixed by me.,
2673,,Police protect the town.,The town is protected by the police.,
2674,,John’s mother raised him in a small town.,John was raised in a small town by his mother.,
2675,,Someone painted the building last year.,The building was painted last year,
2676,,Alexander Fleming discovered penicillin in 1928.,Penicillin was discovered in 1928 by Alexander Fleming.,
2677,,Some students study grammar on the Internet.,Grammar is studied on the Internet by some students.,
2678,,Someone had broken the window by 3:00 p.m.,The window had been broken by 3:00 p.m.,
2679,,A strange man was watching us.,We were being watched by a strange man.,
2680,,Tokyo will hold the Olympics in 2020.,The Olympics will be held in* Tokyo in 2020.,
2681,,We are working on the report right now.,The report is being worked on right now.,
2682,,My manager has told him to arrive earlier.,He has been told to arrive earlier.,
2683,,They could not have made the mistake.,The mistake could not have been made by them.,
2684,,I hope they are going to hire me soon.,I hope I am going to be hired by them soon.,
2685,,The manager increased the prices.,The prices were increased.,
2686,,Jeannette Walls wrote the book.,The book was written by Jeanette Walls.,
2687,,I ate pizza.,The pizza was eaten.,
2688,,Susan drew a picture.,A picture was drawn by Susan.,
2689,,Tom designs buildings.,Buildings are designed by Tom.,
2690,,Julia made the cake.,The cake was made by Julia.,
2691,,John has been visiting Europe for a month.,John will have visited Europe for a month next week.,
2692,,The sports fans are applauding Jess. ,Jess is being applauded.,
2693,,We made mistakes.,Mistakes were made.,
2694,,I will fix the problem.,The problem will be fixed.,
2695,,The scientist heated the solution to the boiling point.,The solution was heated to the boiling point.,
2696,https://targetstudy.com/languages/english/the-voice.html,Ramesh helps me.,I am helped by Ramesh.,
2697,,They play football.,Football is played by them.,
2698,,You read poems.,Poems were read by you.,
2699,,You see that bird.,That birdis seen by you.,
2700,,We help the old men.,The old men are helped by us.,
2701,,He does not sing a song.,A song is not sung by him.,
2702,,Do you love me?,Am I loved by you?,
2703,,What do you eat?,What is eaten by you?,
2704,,Premchand wrote this novel.,This novel was written by Premchand.,
2705,,They admire the brave.,The brave are admired by them.,
2706,,I bought the baby a doll.,The baby was bought a ball. ,
2707,,They know me.,I am known to them.,
2708,,She invited him to her house yesterday.,He was invited to her house yesterday.,
2709,,We enjoy bathing.,Bathing is enjoyed by us.,
2710,,You opened the door.,The door was opened by you.,
2711,,I read the book long ago.,The book was read by me long ago.,
2712,,India expected to win the cricket match.,It was expected by India that they would win the cricket match.,
2713,,The master appointed me monitor.,I was appointed monitor.,
2714,,Who taught you such tricks as these?,By whom were you taught such tricks as these?,
2715,,Brutus accused Caesar of ambition.,Caesar was accused of ambition by Brutus.,
2716,,The girl is climbing the cliff.,The cliff is being climbed by the girl.,
2717,,She taught you to read English.,You were taught by her to read English.,
2718,,One expects better behavior from a college student.,Better behavior is expected from a college student.,
2719,,They showed a video of 'The Titanic'.,A video of 'The Titanic' was shown.,
2720,,You must endure what you cannot cure.,What cannot be cured must be endured.,
2721,,We have pulled down the old house.,The old house has been pulled down.,
2722,,The rules forbid passengers to cross the railway line.,Passengers are forbidden to cross the railway line.,
2723,,He made his wife to the work.,His wife was made to do the work.,
2724,,Nature teaches beasts to know their friends.,Beasts are taught by Nature to know their friends.,
2725,,All desire wealth and some acquire it.,Wealth is desired by all and acquired by some.,
2726,,They expect good news.,Good news is expected.,
2727,,Lincoln emancipated four million African slaves.,Four million African slaves were emancipated by Lincoln.,
2728,,We propose to build a dam for irrigation purposes.,It is proposed to build a dam for irrigation purposes.,
2729,,He offered me a chair.,I was offered a chair.,
2730,,She showed me the greatest respect.,I was shown the greatest respect.,
2731,,You must listen to her words.,Her words must be listened to.,
2732,,Does he not understand my meaning?,Is my meaning understood?,
2733,,Alas! we shall hear her voice no more.,Alas! her voice will be heard no more.,
2734,,Who taught you Urdu?,By whom were you taught Urdu?,
2735,,We found her guilty of murder.,She was found guilty of murder.,
2736,,Somebody has put out the light.,The light has been put out.,
2737,,They laughed at her warnings and objected to all her proposals.,Her warnings were laughed at and all her proposals objected to.,
2738,,I have kept the money in the safe.,The money has been kept in the safe.,
2739,,She pretended to be a baron.,It was pretended by her that she was a baron.,
2740,,My subordinates accused me of various offences.,I was accused of various offences by my subordinates.,
2741,,He saw me opening the box.,I was seen opening the box.,
2742,,I ordered the police to pursue the thief.,The police were ordered to pursue the thief.,
2743,,One cannot gather the grapes from thistles.,Grapes cannot be gathered from thistles.,
2744,,The public will learn with astonishment that war is imminent.,It will be learnt with astonishment that war is imminent.,
2745,,Did you never hear that name?,Was that name never heard?,
2746,,The legend tells us how the castle received its name.,We are told how the castle received its name.,
2747,,Why did she defraud you of your earnings?,Why were you defrauded of your earnings.,
2748,,Do not insult the weak.,Let not the weak be insulted.,
2749,,The clerk wrote the letter.,The letter was written by the clerk.,
2750,,Without effort one can gain nothing.,Without effort nothing can be gained.,
2751,,Kalidas wrote ‘Shakuntalam’.,'Shakuntalam' was written by Kalidas.,
2752,,My singular appearance struck him.,He was struck by my singular appearance.,
2753,,My mother saw here.,She was seen by my mother.,
2754,,They chose me leader.,I was chosen leader.,
2755,,Bees make honey.,Honey is made by bees.,
2756,,A cruel boy killed the parrot.,The parrot was killed by a cruel boy.,
2757,,Watt invented the steam-engine.,The steam-engine was invented by Watt.,
2758,,The cat killed the mouse.,The mouse was killed by the cat.,
2759,,The teacher praised the girl.,The girl was praised by the teacher.,
2760,,Who broke this glass?,By whom was this glass broken?,
2761,,He offered me a chair.,I was offered a chair.,
2762,,Everyone will blame him.,He will be blamed by everyone.,
2763,,Alexander Graham Bell invented the telephone.,The telephone was invented by Alexander Graham Bell.,
2764,,Somebody has stolen my purse.,My purse has been stolen.,
2765,,A cat may look at the king.,A king may be looked at by a cat.,
2766,,They have cut the telephone wires.,The telephone wires have been cut.,
2767,,They pronounced harsh sentences on the offenders.,Harsh sentences were pronounced on the offenders.,
2768,,We will discuss this topic in the class tomorrow.,This topic will be discussed in the class tomorrow.,
2769,,Why should you suspect him?,Why should he be suspected by you?,
2770,,Those who live in glass houses should not throw stones.,Stones should not be thrown by those who live in glass houses.,
2771,,She will be greatly surprised if they choose hen,She will be greatly surprised if she is chosen.,
2772,,The crew set the ship on ﬁre and abandoned it.,The ship was set on fire and abandoned by the crew.,
2773,,"The police arrested them on a charge of theft, but for lack of evidence released them.","They were arrested on a charge of theft, but for lack of evidence they were released.",
2774,,He is playing Cricket.,Cricket is being played by him.,
2775,,You are not doing the work.,The work is not being done by you.,
2776,,Is he teaching me?,Am I being taught by him?,
2777,,Whom are you scolding?,Who is being scolded by you?,
2778,,Why are you telling gossips?,Why are gossips being told by you?,
2779,,Who is distracting her?,By whom is she being distracted?,
2780,,Is he not helping you?,Are you not being helped by him?,
2781,,He has stolen my books.,"My books have been stolen by him,",
2782,,You have not solved the sum.,The sum has not been solved by you.,
2783,,Has he polished the shoes?,Have the shoes been polished by him.,
2784,,Who has abused you?,By whom have you been abused?,
2785,,When has she helped us?,When have we been helped by her?,
2786,,What have they purchased?,What have been purchased by them?,
2787,,Edison invented the ﬁrst bulb.,"First bulb was invented by Edison,",
2788,,I took coffee yesterday.,Coffee was taken by me yesterday.,
2789,,They did not sing a song.,A song was not sung by them.,
2790,,Did we not do the work?,Was the work not done by us?,
2791,,Who cursed the poor lady?,By whom the poor lady cursed?,
2792,,Where did you ﬁnd your pen?,Where was your pen found by you?,
2793,,He was playing Cricket,Cricket was being played by him.,
2794,,You were not doing the work.,The work was not being done by you.,
2795,,Was he teaching me?,Am I being taught by him?,
2796,,Whom were you scolding?,Who was being scolded by you?,
2797,http://www.englishdaily626.com/passive_voice.php?025,He made a loud noise.,A loud noise was made by him.,
2798,,He is reading a book.,A book is being read by him.,
